11386 entries
44 namespaces
9519 values

Namespace Global (10608 keys)
	B67D88D244614D1A10D3D1902E9A1278 = "
	2D32E1124D79B3E3DEC62BB9E756ED93 = ""Hard werken zit in het bloed van elke dwerg. Ben jij de beste dwerg die er is?""
	1793CC5D45BE527563A3418D99FA338A = ""Hard werk is in de kern van elke roodbloedige dwerg. Ben jij de beste dwerg die je kunt zijn?""
	363E701C4F810863EAECE5B33A2ED92D = ""Hard werken zit in het bloed van elke dwerg. Ben jij de beste dwerg die er is?""
	C1DAAEC840ACC474D6EE10927632877C = ""Hard werk is in de kern van elke roodbloedige dwerg. Ben jij de beste dwerg die je kunt zijn?""
	C9ABA6FC40821AB487747FBE7E69A93F = ""Ik haat bloemen!""
	2008FBC04EB67BAD588D6D986C62330E = ""Ik hoorde eens dat dit Karl's lievelingsbioom was. Ze zeggen dat hij hier ooit zwam. Snap je hem?""
	CE27E66C4F513D94ACE180A4ED20C01B = ""Ik heb mijn vlees graag half doorbakken, maar met deze hitte wordt het te gaar.""
	24849CE146A86F9669419DA47D289234 = ""Ik had mijn wollige onderbroek niet moeten dragen.""
	BCE7D9A64C9A097CE7190BB853976592 = ""Ik ben nog niet af van mijn laatste schimmel infectie.""
	9A349E584BB616DDB542BB90EF5C2009 = ""Ik voel mij vandaag brikkelbaar!""
	59CFDF144899447829E9A3AE8AB1F3ED = ""Ik pak wat zout om wat smaak toe te voegen aan die troep uit de kantine.""
	AD7680374A817E3BABB5A58C10703891 = ""Ik ben er vrij zeker van dat hier alle salades vandaan komen.""
	BB988F534205D2C733EF2C8AB6C034A7 = ""Ik ben er vrij zeker van dat hier alle salades vandaan komen.""
	0CB5901D4F08E8D9E60E3F972001F297 = ""Ik heb nog nooit een slechte ervaring gehad met recht omlaag graven""
	A5F521AE45F9D245764132896E316CC4 = ""Wat voor soort krachten krijg ik als ik wordt gebeten door een glyphid?" "
	2C9A83C84DD3A93BC906EBB8A3B074CC = "'Als diamanten de beste vriend van een dwerg zijn, is dit als een familiereünie voor verre neven en nichten.'"
	BFAC212649B1D3E53683B2B4BA20701E = ""Als mijn baard geschroeid raakt, meld ik mij morgen ziek.""
	8A0F78864441B88B50DB078BDCBF5759 = ""Als je bloempotten ziet, check ze dan voor edelstenen!""
	6E527781478FFD351E76D48461C820F9 = ""In de koude woestenij, is de kou niet het enigste dat bijt.""
	A1A6B6164B9B7F30CC8914B1D042405C = ""Ligt het aan mij of zijn de glyphids hier groter?""
	B5BACB1A45893341C66AFFA9B0587E58 = ""Is dit waar ze elven groeien?""
	DABFE51D40E2C5AD99C5209A60AE6592 = ""Het brand! Het braaaand!""
	28D52EAB449FA2AB0A2F179E69E2017A = ""Het groeit op alles!""
	DD33A8BB40EA49EB752BE0BE37EC73BD = ""Het was een paradijs voor schimmels, maar een groene hel voor dwergen!""
	8DD621EA40A0AE09BA0F558D3E359976 = ""Het is een koude hell maar de lucht is fris en het bier koud!""
	CF599FFD4E9830D9ABB3B483C7121E16 = ""Het zal wat werk kosten om deze doorns uit mijn baard te plukken.""
	8671E3C0446474A2D971B2862240DAB1 = ""Het is alsof uitverkoop hadden met steekwonden!""
	BDC7160C4EAF9E098458C0859B17BA71 = "'Levenloze ogen, zwarte ogen, als de ogen van een pop. Als hij naar je komt, lijkt hij niet te leven.' De Reclamator-helm is een eenvoudig ontwerp dat onmiddellijk respect afdwingt."
	D0E1C47B4F2CBDDA4DBE438CEA7FF17B = ""Maak nog een "Blijf Frosty"-grap, en ik maak je af.""
	26B8A5B44D3AE6D96A58D69A3ED47EF8 = ""Mol" Pantseropstelling"
	D548CF454D1EBCA33D4F6380FA13D2E8 = ""Mol" Pantseropstelling"
	F86B3E7C4640C81DC67D62810B8C6A61 = ""Er zijn meer dwergen naar de moerassen gegaan die we nooit meer terug gezien hebben dan iemand zou willen toegeven.""
	568389244D49299CEE2281921A73EF51 = ""Niks goeds kan op deze planeet groeien en deze plek bewijst dat.""
	EAEFDFC54C5C246CE008F7B46DAE6871 = ""Niks goed komt makkelijk!""
	EB62CAB8430D69879E92ACA6D499A6C3 = ""Niks goed komt makkelijk!""
	F5CFF694499CD7425AC544B56CEEEF7C = ""Niks goed komt makkelijk!""
	F706A09644F0A23226753592ABC1F5CA = ""Niks goed komt makkelijk!""
	8D328ED84063BB39EE01DAA9D8335B1E = ""Uil" Pantseropstelling"
	FAEE2D1D4BDA6EB8CD5525B54931FE0C = ""Uil" Pantseropstelling"
	DDA019A2429F0F3A23B181A070B7CFBD = ""Persoonlijke gegevens' betekent dat we informatie kunnen verzamelen over je speelstijl en die kunnen gebruiken om het spel leuker te maken voor JOU en mensen die net als jij spelen.

De persoonlijke informatie die we nodig hebben is simpelweg een gebruikersidentificatiecode. We gebruiken die identificatie om gegevens over uw spelsessies te verzamelen en beter te begrijpen hoe je speelt.

Tijdens het verzamelen van de gegevens anonimiseren we je IP en bewaren we slechts een kleine hoeveelheid regio-informatie die niet naar jou kan worden herleid. Al deze informatie wordt verwerkt via Google Analytics en zal nooit worden gedeeld met derden."
	E512ACDF40BFE2B74D7BC08A727C5841 = ""Mooi.....mooi dodelijk!""
	E855E751443D28F1F3F82C8B8B1119C2 = ""Radioactieve Gluphid mutanten en het is niet eens mijn verjaardag!""
	8F262EB5459498756DB783B0BEA72D62 = ""Vergeet niet te drinken!""
	0910FFF34ACF8888DD01CAA2E2659B67 = ""Ren! Forest!""
	427692654FD16FFC199B4DB5D9B95A72 = ""Zandstormen zijn een noodzakelijk kwaad. Ze kunnen een dwerg tot op zijn botten pellen, maar ook kostbare Enor-parels vormen.""
	710BEB51464D43B3EC618F9953DCFC34 = "'Red je kameraden! Laat geen dwerg achter!'"
	D36BE7144E1D5B579FF71BAA11C99551 = "'Red je kameraden! Laat geen dwerg achter!'"
	D1EED2D545F420639F354281348A807B = ""Schaalbrigade" Opdracht"
	5ECDFB0B41DEF7593516649C7C4AD3F3 = ""Shh! Hoor je dat?""
	A6BF73E94CB97BDCDB1B19A552CCDCEF = ""Had extra bier mee moeten nemen.""
	25CC8B3D4F5394B91C40EB85B0168AC9 = ""Ik had ski's moeten meenemen.""
	BC39B6E84900F3A871EEA8A9F80C3960 = ""Moeten we geen beschermende pakken dragen?""
	1417FDAC457F404A65CAC79BE9A8B0BA = ""Zo... dorstig...""
	D77F7B8E40F40640D899DAADEAEE2778 = ""Een coole quote hoort hier, want dat is cool.""
	CA36008E45769591D62E34A39A0319C3 = ""Staar te lang naar de lichten en je zult blind worden!""
	7F8BBDFA4EE670C741783DBFF58F9972 = ""Het koraalvormige terrein was een perfecte plek voor avontuur en dood door te vallen!""
	62D38D5043A28FA6800BDDBFDC2A0707 = ""Het grootste gevaar is niet de kou, dat is uitglijden!""
	B8F369D64DB914C0095CF0891BA0FB7D = ""De hitte zou het onmogelijk moeten maken omhier iets te kunnen laten leven... en toch zijn er overal monsters.""
	6E9FF20B43C600AB5C60A2A07195907E = ""Men zegt dat er meer is in het zand dan aggresieve fauna.""
	DC50A174494FE2255A81728A54694460 = ""De kleverige grond veroorzaakte veel mislukte expedities.""
	D54E52E54137647565C2759E7113D798 = ""De muren hebben ogen...!""
	0CB4590D451EC7F9C66C7C8A12B9A6E7 = ""Er kan geen succes zijn waar geen trots is!""
	2D1BCB69403D99F5ABA977A5E7B2369D = "'Er kan geen succes zijn als er geen trots is!'"
	7BB730D14F8330BF7889CBB0C7D59E7C = ""Er kan geen succes zijn waar geen trots is!""
	811DB18945F83CDCB68FA2B2033DC9D6 = ""Er kan geen succes zijn zonder trots!""
	C5387EAF4670051511E067A37AE8DA5A = "''Er staan ​​hier planten waarvan ik niet eens wist dat ik ze haatte.''"
	C784297048C2178556612BA09651D66C = ""Deze bloemen vechten terug!""
	F9E80FFC4A4B4C05B4EEF984393CC770 = ""Deze wonderbaarlijke kristallen zijn een lust voor het oog, maar alle verhalen over hun waarde zijn slechts een sprookje.""
	8A2A456445C627EE7C23E6A7DD3C8982 = ""Dit voelt als een sprookje dat mis liep.""
	39967D0048277449A755CDB333DB6D9D = ""Dit is bomen knuffelen op en top.""
	B54885FE42DCA3E519D35F922E564B75 = ""Dit is bomen knuffelen op en top.""
	2D874E4944B9744108E32A8BD002CB14 = ""Dit is de laatste keer dat ik mijn handschoenen vergeet!""
	A96A78C34F48B5E16C74BDA0EF57FB7D = ""Deze plek is geweldig als je van waardevolle edelstenen houdt en een hekel hebt aan teleurstelling.""
	908930904A65C539FDF440BB381EDAE3 = ""Dit zal geweldig zijn voor mijn eczeem.""
	7DEFF6D94F94842A2880929B73627776 = ""Urgh, het zand komt in alles.""
	4DBE8C6F4B6D490E73FFB49E0BD1C85E = ""Overwinning begint ondergrond en eindigt in de Abyss Bar!""
	BDF9D4A6413EBD6EADF22A85AD5EBBF3 = ""Overwinning begint ondergrond en eindigt in de Abyss Bar!""
	64A44CED4559F7966B260DA78B92B548 = ""Kijk uit voor de scherpe randjes!""
	7C914157406C5E3C0B199389EB8EF3DC = ""Kijk uit waar je zit! De laatste keer kreeg ik uitslag dat dagen duurde.""
	70E977CC432176186EF97C815AC527EA = ""We zullen een grotere onkruid wieder nodig.""
	8CA3A5824CE29F395B4F968767104D61 = ""Welkom in de jungle!""
	AE8497FF4CA73352C7EC77A9FBD6A437 = ""Wat bedoel je met alle rode suiker opgegeten? Dat hadden we nodig!""
	B7F41AC5445A0715C7DC2A941BA7F0FE = ""Wat bedoel je met alle rode suiker opgegeten? Dat hadden we nodig!""
	0CE6AF4B4ABE246B622932A21C84A6F8 = ""Waar kroonluchters naartoe gaan om te sterven.""
	891725F44431E1F457BD3294F4A3C7C8 = ""Waar zei je nou dat Bitter edelsteen was?""
	8606B96B435A0601910596848A07DC7C = ""Ook al hou ik van zand tussen mijn tenen... hou ik mijn schoenen aan want ik hou ook van mijn tenen.""
	F0ECD32944FAA9AC1B0C2B8AB692FC9C = ""Ook al hou ik van zand tussen mijn tenen... hou ik mijn schoenen aan want ik hou ook van mijn tenen.""
	0337F990453ED98C55B3DDA0E64839AB = ""Werk hard! Blijf vastberaden!""
	0906A65F4CA50A2A684F17BC53EB8324 = ""Werk hard! Blijf vastberaden!""
	AF7E17B94BEF9F5D2EC2C5AC298BCE5E = ""Werk hard! Blijf vastberaden!""
	BACE824440843CBC23D8DEB30EA6509C = ""Werk hard! Blijf vastberaden!""
	0912E0854B479D44669586ABBD8F6FEA = "''Werk met elkaar, of ga alleen dood. Hoxxes is niet je vriend!''"
	9A14D89440324A0500809BAAF2A928B1 = "''Werk met elkaar, of ga alleen dood. Hoxxes is niet je friend!''"
	D86A5AEB4C2154D2D4AB0BAF8B3B4567 = "''Werk met elkaar, of ga alleen dood. Hoxxes is niet je friend.''"
	DB3D33A64D5B42D77E4904BB4FC73C19 = "''Werk met elkaar, of ga alleen dood. Hoxxes is niet je friend.''"
	8C3323D3428700822F62DBBD02BD410D = ""Erger dan falen is om het nooit te hebben geprobeerd!""
	BF4E93D848DF3F6E714D29B132D18534 = ""Erger dan falen is om het nooit te hebben geprobeerd!""
	EDA89EE543B3644013BD668C2B6B994A = ""Erger dan falen is om het nooit te hebben geprobeerd!""
	FE3AF71A4B4652C9E84187A1EB7F1678 = ""Erger dan falen is om het nooit te hebben geprobeerd!""
	432B2F5F4E1BE02385DA2E8E0FAD1CBC = "Ja, dat kan jij"
	64EC61C944E03B358AF914AE7EDB71B2 = "Ja, dat kan jij"
	7F51D56947605850904AA5B96ACE4C34 = ""Ja, dat kan jij!""
	D60FF3AB433FFE22A040AFB968CBDD65 = ""Ja, dat kan jij!""
	510508C743787EB05411369832A6AD9B = ""Je kan grote dingen doen met een klein team!""
	E7421F294010B3B1D014D9AE9E4EF55B = ""Je kan grote dingen doen met een klein team!""
	1A3489AB475723C2D8F27790EC025F17 = ""Jouw einzelgänger inspanning worden gewaardeerd maar Management wilt graag aangeven dat er andere graver teams ondersteuning kunnen gebruiken! Bekijk de missie kaart, open de Server lijst en sluit aan bij een onderbezet team. Bedenk namelijk... Samen smeden we de toekomst - niet alleen!""
	ADDBAF774A9F0161EA10CEBCC083B56C = "% Omgezet naar vuur"
	B94485674FAA715806DF9A99E2F7BFE1 = "'Grot Bloedzuigersgroep' Waarschuwingen Voltooid"
	7F5BC4464B795A63E3AFCFBB6C9416EF = "'Elite bedreiging' Waarschuwingen voltooid"
	ADB2DBC740B7437648BAB1982D55F2D8 = "'Ontploffer Besmetting' Waarschuwingen Voltooid"
	2D86B84447DF9721937B3887CC38B047 = "'Spookgrot' Waarschuwingen Voltooid"
	F016756B40412366200E4F811229E68B = "'Dodelijke Vijanden' Waarschuwingen Voltooid"
	6E90983C48336910B89105A7DAD194F2 = "'Laag Zuurstofgehalte' Waarschuwingen Voltooid"
	B7FBC38941D027EB0DC7E9925F5EF075 = "'Macteraplaag' Waarschuwingen Voltooid"
	03C22F084530B9BF96F680BF41F12B99 = "'Geen koplamp'-waarschuwingen voltooid"
	ABB620444A316254368D1B882AFF5A3C = "'Parasieten' Waarschuwingen Voltooid"
	446621D9442B342CED0D85BB8DE711BE = "'Regenererende Insecten' Waarschuwingen Voltooid"
	844F066F443EA495C2D467A142B97D63 = "'Normaal' <Highlight>Gemarkeerd</> <Bold>Vetgedrukt</>"
	FC7BD3ED43577B288F6BC9937000BDF0 = "'Schildverstoring' Waarschuwingen Voltooid"
	8290203C4339866F0875DB8B1740194F = "'Swarmageddon' Waarschuwingen Voltooid"
	06F5FD53480F9F14AB110FADEE69052B = "'Volatile Flares' Waarschuwingen voltooid"
	3AB176AF44767F2CEF7F02BAAE27AD9B = "'{Description}'

Koop deze granaat?"
	441B6B0A4C6A7B60F413328C7C76C00A = "'{description}'

Koop deze uitrustings modificatie?"
	97672926473D2A95950BC190ACEB07AB = "(GOEDGEKEURDE MODS)"
	9C22DB0E48E29E9E7275D39807B0E8EF = "(GOEDGEKEURDE MODS)"
	E383843E42C22B358EA39FB6FF6BA09E = "(Rol vergrendeld)"
	E9A9E0DE44C5E1F5A46886ABCCB74762 = "(hoofd save)"
	C3C678454400B1BFB5D336A7E904BDC6 = "(R) Herlaad Karakter"
	C69B3AC844302B16AEAC90A27A09070A = "(R) Herlaad Karakter"
	79C854AD4881276E9A57FEB5109ED8AA = "(zingend) Monorail, Monorail, Monorail!"
	5EBE24E74405084DC63E9AABA8AC76F6 = "(gemod)"
	8C6C5CF94BE0FF3163618EB616DAFC6E = "(gemod)"
	AA92F78846185BE3CECD9EA91DBE22BC = "(gemod)"
	6C45AFD644F1BD03FFB094AC99E133F9 = "(fluisterend) Mag ik een Leaf Lover's Special?"
	1B315FD042F69E6FEFF72BA7F39D5C01 = "* Alle rekeningen moeten met DRG worden verrekend voordat u een promotie krijgt.. Dit omvat kost en inwoning, slijtage van apparatuur, beschadigde DRG-eigendommen en ook alles wat je in de bar hebt gedaan. DRG is tenslotte geen liefdadigheidsinstelling."
	423B14B54F3FD859EBD459ACDB32E0B9 = "*knijpt in nitra voor meer sap*"
	01745765476470B7AC697B854608FFF1 = "+ "Orkaan" Geleide Raketsysteem beschikbaar voor aankoop"
	1D007D0B45A8323CE9559EA9491E7B12 = "+ "Stubby" Voltaic SMG beschikbaar voor aankoop"
	0F8E626A43933CB08AE9C18CFE0E99BD = "+ "Donderkop Zwaar Automatisch Kanon" beschikbaar om te kopen"
	5C5499904388DF049671A8B290DBE07E = "+ 1 Nieuw Actieve Vraardigheid Slot"
	7AED187F42CAC05C708EB1BDED56464D = "+ 12000 Credits
+ 450 Bouw Mineralen
+ 20 Brouw Ingrediënten
+ 1 Overclock Geïnfuseerde MatrixKern
+ 1 Cosmetische Geïnfuseerde MatrixKern
+ 2 Afschuwelijke Halloween Hoofddeksels"
	912493B549E6879C9AAF1BB0118B9B39 = "+ 15000 Credits
+ 500 Bouw Mineralen
+ 20 Brouw Ingrediënten
+ 1 Overclock Geïnfuseerde MatrixKern
+ 1 Cosmetische Geïnfuseerde MatrixKern
+ 1 Mineraal Container"
	DED1468F4CF64721D885DA8333C69521 = "+ 15000 Credits
+ 550 Bouw Mineralen
+ 20 Brouw Ingrediënten
+ 1 Overklok Geïnfuseerde MatrixKern
+ 1 Cosmetische Geïnfuseerde MatrixKern
+ 2 hoofddeksels met XMAS sfeer"
	5DA4A8E047D79E86388BFFB3E779963B = "+ 6X Geïnfuseerde Matrixkernen
+ Wekelijkse kern Jacht Ontgrendeld"
	9E48C15043BBDBD7AD465B9A8621B44A = "+ Alle planetaire regio's ontgrendeld
+ Alle missie types ontgrendeld"
	B337CBCE43300150577A55BB67D4243D = "+ BRT7 salvo wapen beschikbaar voor aankoop"
	99E5984945DCC3504E68A8834E5DC792 = "+ Lege Matrixkern
+ Overklokte Matrixkern
+ Cosmetische Matrixkern"
	5E72403D48C5B2178802AC8880B0D8FC = "+ Breach Cutter beschikbaar voor aankoop"
	D8A3AB10408C1992728777A19CD33BEE = "+ Corrosieve Slibpomp beschikbaar voor aankoop"
	3D99F6EB4599937050DF448CD930577E = "+ Cryo Kanon beschikbaar voor aankoop"
	DC99CAB0416F96A2D3F890943440C079 = "+ DRAK-25 plasmakarabijn beschikbaar voor aankoop"
	743B701443B2E95407A48793DB5D43DB = "+ Boorder Promotie"
	70E89AD543F7A4B249C79A8C7D7AB23E = "+ Ingenieur Promotie"
	EB9E838D46296A20D2D58F866ACFD50B = "+ Experimentele plasma-oplader beschikbaar voor aankoop"
	E16E40D847837BAE009ECE9C55294BE5 = "+ Extra Credits
+ Willekeurige bouw mineralen"
	66A0823447C3CB00940092A9CB213262 = "+ Schutter Promotie"
	A59406164B331B1C0DEB2296695ECF34 = "+ HOOFDDEKSEL: ZWARE BELASTING REPERATEUR
+ EXTRA CREDITS EN BOUWMATERIAAL"
	E67857F54B09E7623876B39D0E0F794B = "+ Eer en Prestige!"
	134401BC4CBFE6DEFD965DAA7A7E403F = "+ LOK-1 Slim geweer beschikbaar voor aankoop"
	967E05354936FC6CFE023AA670D5EAAC = "+ M1000 Klassieker verkrijgbaar om aan te schaffen"
	04FD84F74534A09165323193EDE94860 = "+ Nieuwe Taak: DOORBREEK DE KERN"
	D028C3274772ABACFCB8F39BF1D2362E = "+ Verkenner Promotie"
	EF0DF8784599B5857CCDD39F43929517 = "+ Handel terminal toegankelijk"
	8828FFC6421DA6948BE30CAA6C5D6774 = "+ Tritilyte sleutel geeft toegang tot de Diepe Duik Terminaal"
	F76249854569776C11C34F96E8BDA25E = "+ Ontgrendel GEVAARLEVEL 5 - DODELIJK"
	BA709CDC4E2DFB5A802D7E8AE84C7C16 = "+ Upgrade Promotie Badge"
	CA55556B4C389FB1E04612A3184E43AB = "+ Zhukov NUK17 beschikbaar voor aankoop"
	80F011474601EE73C5B127B1CE7438D4 = "+15 MORKIET"
	78DFA13846CB82653B1E9FB81E88F2F2 = "- LEGE CABINE -"
	8BE6B127423859AEED1AE1834524940A = "- LEGE CABINE -"
	CF1B0DDB4B2D8D8096AC2181C18687D7 = "- Klassiek"
	419A6E544CE861CCCE289D8D7D783655 = "- Voltooid -"
	106BE2A74FFC8593A3C43F84D8A1D68E = "- DEEP ROCK GALACTIC /// WERKNEMER TERMINAL -"
	A1C235314A06F1E76CBCE699B604948E = "- STANDAARD CATEGORY -"
	FE8E507D421EF2DF84D70F8AB298ECBF = "- DRG TEWERKSTELLING ACTIVITEITSAFDELING. -"
	A12D7F2B4773C12D30F289A8CB73F4F7 = "- Ontdek verborgen schatten -"
	097C3BCA434E015215F125A873EB628D = "- LEEG -"
	1BD49FA1467DFCAFDC2DB2B1CB3E2206 = "-LEEG-"
	729DC7224EF77E8E58E8A2AEBC575803 = "- LEEG -"
	9314517249F5D50277F43998E99CAC37 = "- LEGE BOEG -"
	DD60E905432184562A98258F7D2FF4CA = "- Leeg -"
	806E021B47366790C4EE8F89571BBC9C = "-Servers aan het vinden-"
	85C449AE47FB0031C339CC9690BA7E50 = "- VOER MATRIXKERN NU IN -"
	D04F270F465F209441693B9D8C800CE1 = "- MATRIX KERN GEDETECTEERD -"
	E0308AD64B74FB3F487ECC8114474D6F = "- GEEN DOELEN -"
	1EA23435475E25C305E21581CFFA65CF = "-GEEN MIDDELEN-"
	A527354A4D6F6C17F98234B0C5D71123 = "- Geen data beschikbaar -"
	5E13AC564F116A8F6E888B9F611EB113 = "-Scanners buiten bereik-"
	8275052142115DF3E33B5AAE2E040BBA = "----- MISSIE STATUS -----"
	C154ACB2456607A2A049E492A7646C13 = "----- MISSIE STATUS -----"
	E4D5D88549789B2B7E1EDA9C8889A802 = "...Hm...Wie zal de Groenbaard helpen als ik weg ben?"
	6B883B5240E9620DF19E87B25ADD25AB = "...Juist wanneer je denkt dat het niet erger kan!"
	8262BFC448BBEDD0D0E676BC221AC06E = "...Misschien was dit er eentje te veel!"
	87F424944AEA4F4FBCFB6499FC873EEB = "...Hoop echt dat mijn pantser roest bestendig is!"
	B233414B44513EF94573E59A2DE673EF = "...Wat is die troep waarmee ze me hebben uitgerust?"
	DAB66E094D2AEA5EA8B7F8BD131C4500 = "...Waar ben ik? "
	D8E9AE8241A9E2145853FA9B8A84EF18 = "05: LADEN"
	03191CEC4F3517DFFEF79EB1FBCDA29E = "een"
	4C59518C42149AA59A4AAFACADBD2E59 = "1 extra zipline om te plaatsen"
	11168284465F5822F5AFBB936F248453 = "1. Als dit de eerste keer is dat je dit probleem hebt, wacht een paar seconden.
2. Zorg dat je Steam-app aan staat.
3. Zorg dat je bent ingelogd op Steam.
4. Start Steam opnieuw op.
5. Zorg ervoor dat je spel en Steam niet worden geblokkeerd door een antivirus of firewall."
	582285B049CB024EBB7E308CA4CA313B = "1. Je wordt onderdeel van de werknemers unie van je keuze, waardoor je meer betrokken kunt raken met de gemeenschap en je vrienden!

2. Je kunt deelnemen aan het behalen van maandelijkse hoofdstuk doelen en een deel van de beloningen ontvangen!"
	E3CAE99E4336FB45C4926CA53AE642C2 = "1. Je huidige ingelogde Discord account zal de respectievelijke Unie Hoofdstuk Rol in onze server krijgen.

2. Je huidige ingelogde Discord account zal elke andere Unie Hoofdstuk rol verliezen die het voorheen had."
	B063C03941EB570D6F2145808469C99D = "10 seconden tot opstijgen."
	4CABE16F4C9C7FA8D342A8BAB370E71E = "100% meer Goud tijdens het graven"
	A6A17BE34F9EDC3124434C809161A714 = "2 spreeuwen en een norse kraai nestelen daar in."
	99CD26B24BF6817DD1A4978034CA179D = "2.000 kogels van verarmd uranium... Ohh yeah!"
